2023-11-14 12:09:INICIANDO SCRAPY
2023-11-14 12:09:USUARIO INGRESADO
2023-11-14 12:09:CONTRASEÑA INGRESADA
2023-11-14 12:09:TOKEN INGRESADO
2023-11-14 12:09:INICIANDO SESION
2023-11-14 12:09:SESION INICIADA
2023-11-14 12:10:COOKIES ACEPTADAS
2023-11-14 12:10:FECHA CAMBIADA
2023-11-14 12:10:CANTIDAD DE ELEMENTOS EN TABLA CAMBIADO A 500
2023-11-14 12:10:CONSULTANDO TABLA DOCUMENTOS
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505703855
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505701110
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700933
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700932
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700931
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700930
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700929
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700928
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700927
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505700856
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505699822
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505699813
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505699535
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505699511
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505699452
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505696731
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505696730
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505695873
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505695444
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505695443
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505695272
2023-11-14 12:10:DESCARGANDO ARCHIVO 0505695271
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695270
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695269
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695268
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695267
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695266
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695265
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695264
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505695263
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505694767
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505694766
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505692866
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505691868
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505685289
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505685219
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505682540
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505682533
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505679155
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505679052
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505679051
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505679050
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505679049
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505679048
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505674964
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505674963
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505674808
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505674807
2023-11-14 12:11:DESCARGANDO ARCHIVO 0505673643
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505672814
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505670631
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505670504
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505669815
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505669814
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505667805
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505666024
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505665182
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505665181
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505663722
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505653213
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505653199
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505650851
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505649965
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505649801
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505643989
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505642454
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505641987
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505641294
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505641166
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505639349
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505639288
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505639040
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505637208
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505637207
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505637206
2023-11-14 12:12:DESCARGANDO ARCHIVO 0505637205
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505637167
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505631234
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505631233
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505629516
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505629515
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505629514
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505628699
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505628698
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505628697
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505628695
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505628694
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505628693
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505621037
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616264
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616263
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616262
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616072
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616071
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616070
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616069
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505616068
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505615955
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505615954
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505615953
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505615952
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505615950
2023-11-14 12:13:DESCARGANDO ARCHIVO 0505615949
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505615948
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505610823
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505610822
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505610388
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505610387
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505610385
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505610384
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505605665
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505605664
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505605663
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505605662
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505605661
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505605660
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505601739
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505601270
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505596195
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505594811
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505594810
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505589142
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505588891
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585895
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585860
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585859
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585858
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585857
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585856
2023-11-14 12:14:DESCARGANDO ARCHIVO 0505585855
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505585854
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505585555
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505585144
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505581141
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505581049
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505574711
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505568156
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505567357
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505567339
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505566762
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505563608
2023-11-14 12:15:DESCARGANDO ARCHIVO 0505562596
